category,title,abstract,clean_abstract
phys,Statistical analysis of weighted networks,"  The purpose of this paper is to assess the statistical characterization of
weighted networks in terms of the generalization of the relevant parameters,
namely average path length, degree distribution and clustering coefficient.
Although the degree distribution and the average path length admit
straightforward generalizations, for the clustering coefficient several
different definitions have been proposed in the literature. We examined the
different definitions and identified the similarities and differences between
them. In order to elucidate the significance of different definitions of the
weighted clustering coefficient, we studied their dependence on the weights of
the connections. For this purpose, we introduce the relative perturbation norm
of the weights as an index to assess the weight distribution. This study
revealed new interesting statistical regularities in terms of the relative
perturbation norm useful for the statistical characterization of weighted
graphs.
",purpose paper assess statistical characterization weight network term generalization relevant parameter average path length degree distribution cluster coefficient degree distribution average path length admit straightforward generalization cluster coefficient different definition propose literature examine different definition identify similarity difference order elucidate significance different definition weighted cluster coefficient study dependence weight connection purpose introduce relative perturbation norm weight index assess weight distribution study reveal new interesting statistical regularity term relative perturbation norm useful statistical characterization weight graph
phys,Genetic Optimization of Photonic Bandgap Structures,"  We investigate the use of a Genetic Algorithm (GA) to design a set of
photonic crystals (PCs) in one and two dimensions. Our flexible design
methodology allows us to optimize PC structures which are optimized for
specific objectives. In this paper, we report the results of several such
GA-based PC optimizations. We show that the GA performs well even in very
complex design spaces, and therefore has great potential for use as a robust
design tool in present and future applications.
",investigate use genetic algorithm ga design set photonic crystal pc dimension flexible design methodology allow optimize pc structure optimize specific objective paper report result ga base pc optimization ga perform complex design space great potential use robust design tool present future application
phys,"Interference effects in above-threshold ionization from diatomic
  molecules: determining the internuclear separation","  We calculate angle-resolved above-threshold ionization spectra for diatomic
molecules in linearly polarized laser fields, employing the strong-field
approximation. The interference structure resulting from the individual
contributions of the different scattering scenarios is discussed in detail,
with respect to the dependence on the internuclear distance and molecular
orientation. We show that, in general, the contributions from the processes in
which the electron is freed at one center and rescatters off the other obscure
the interference maxima and minima obtained from single-center processes.
However, around the boundary of the energy regions for which rescattering has a
classical counterpart, such processes play a negligible role and very clear
interference patterns are observed. In such energy regions, one is able to
infer the internuclear distance from the energy difference between adjacent
interference minima.
",calculate angle resolve threshold ionization spectra diatomic molecule linearly polarize laser field employ strong field approximation interference structure result individual contribution different scatter scenario discuss detail respect dependence internuclear distance molecular orientation general contribution process electron free center rescatter obscure interference maxima minima obtain single center process boundary energy region rescattering classical counterpart process play negligible role clear interference pattern observe energy region able infer internuclear distance energy difference adjacent interference minima
phys,Three dimensional cooling and trapping with a narrow line,"  The intercombination line of Strontium at 689nm is successfully used in laser
cooling to reach the photon recoil limit with Doppler cooling in a
magneto-optical traps (MOT). In this paper we present a systematic study of the
loading efficiency of such a MOT. Comparing the experimental results to a
simple model allows us to discuss the actual limitation of our apparatus. We
also study in detail the final MOT regime emphasizing the role of gravity on
the position, size and temperature along the vertical and horizontal
directions. At large laser detuning, one finds an unusual situation where
cooling and trapping occur in the presence of a high bias magnetic field.
",intercombination line strontium 689 nm successfully laser cooling reach photon recoil limit doppler cool magneto optical trap mot paper present systematic study loading efficiency mot compare experimental result simple model allow discuss actual limitation apparatus study detail final mot regime emphasize role gravity position size temperature vertical horizontal direction large laser detuning find unusual situation cool trap occur presence high bias magnetic field
phys,"New version announcement for TaylUR, an arbitrary-order diagonal
  automatic differentiation package for Fortran 95","  We present a new version of TaylUR, a Fortran 95 module to automatically
compute the numerical values of a complex-valued function's derivatives with
respect to several variables up to an arbitrary order in each variable, but
excluding mixed derivatives. The new version fixes a potentially serious bug in
the code for exponential-related functions that could corrupt the imaginary
parts of derivatives, as well as being compatible with a wider range of
compilers.
",present new version taylur fortran 95 module automatically compute numerical value complex value function derivative respect variable arbitrary order variable exclude mixed derivative new version fix potentially bug code exponential relate function corrupt imaginary part derivative compatible wide range compiler
phys,"Effective conservation of energy and momentum algorithm using switching
  potentials suitable for molecular dynamics simulation of thermodynamical
  systems","  During a crossover via a switching mechanism from one 2-body potential to
another as might be applied in modeling (chemical) reactions in the vicinity of
bond formation, energy violations would occur due to finite step size which
determines the trajectory of the particles relative to the potential
interactions of the unbonded state by numerical (e.g. Verlet) integration. This
problem is overcome by an algorithm which preserves the coordinates of the
system for each move, but corrects for energy discrepancies by ensuring both
energy and momentum conservation in the dynamics. The algorithm is tested for a
hysteresis loop reaction model with an without the implementation of the
algorithm. The tests involve checking the rate of energy flow out of the MD
simulation box; in the equilibrium state, no net rate of flows within
experimental error should be observed. The temperature and pressure of the box
should also be invariant within the range of fluctuation of these quantities.
It is demonstrated that the algorithm satisfies these criteria.
",crossover switching mechanism 2 body potential apply modeling chemical reaction vicinity bond formation energy violation occur finite step size determine trajectory particle relative potential interaction unbonded state numerical e.g. verlet integration problem overcome algorithm preserve coordinate system correct energy discrepancy ensure energy momentum conservation dynamic algorithm test hysteresis loop reaction model implementation algorithm test involve check rate energy flow md simulation box equilibrium state net rate flow experimental error observe temperature pressure box invariant range fluctuation quantity demonstrate algorithm satisfy criterion
phys,"Lattice Boltzmann inverse kinetic approach for the incompressible
  Navier-Stokes equations","  In spite of the large number of papers appeared in the past which are devoted
to the lattice Boltzmann (LB) methods, basic aspects of the theory still remain
unchallenged. An unsolved theoretical issue is related to the construction of a
discrete kinetic theory which yields \textit{exactly} the fluid equations,
i.e., is non-asymptotic (here denoted as \textit{LB inverse kinetic theory}).
The purpose of this paper is theoretical and aims at developing an inverse
kinetic approach of this type. In principle infinite solutions exist to this
problem but the freedom can be exploited in order to meet important
requirements. In particular, the discrete kinetic theory can be defined so that
it yields exactly the fluid equation also for arbitrary non-equilibrium (but
suitably smooth) kinetic distribution functions and arbitrarily close to the
boundary of the fluid domain. Unlike previous entropic LB methods the theorem
can be obtained without functional constraints on the class of the initial
distribution functions. Possible realizations of the theory and asymptotic
approximations are provided which permit to determine the fluid equations
\textit{with prescribed accuracy.} As a result, asymptotic accuracy estimates
of customary LB approaches and comparisons with the Chorin artificial
compressibility method are discussed.
",spite large number paper appear past devote lattice boltzmann lb method basic aspect theory remain unchallenged unsolved theoretical issue relate construction discrete kinetic theory yield \textit{exactly fluid equation i.e. non asymptotic denote \textit{lb inverse kinetic theory purpose paper theoretical aim develop inverse kinetic approach type principle infinite solution exist problem freedom exploit order meet important requirement particular discrete kinetic theory define yield exactly fluid equation arbitrary non equilibrium suitably smooth kinetic distribution function arbitrarily close boundary fluid domain unlike previous entropic lb method theorem obtain functional constraint class initial distribution function possible realization theory asymptotic approximation provide permit determine fluid equation \textit{with prescribed accuracy result asymptotic accuracy estimate customary lb approach comparison chorin artificial compressibility method discuss
phys,Pairwise comparisons of typological profiles (of languages),"  No abstract given; compares pairs of languages from World Atlas of Language
Structures.
",abstract give compare pair language world atlas language structures
phys,"Convergence of the discrete dipole approximation. I. Theoretical
  analysis","  We performed a rigorous theoretical convergence analysis of the discrete
dipole approximation (DDA). We prove that errors in any measured quantity are
bounded by a sum of a linear and quadratic term in the size of a dipole d, when
the latter is in the range of DDA applicability. Moreover, the linear term is
significantly smaller for cubically than for non-cubically shaped scatterers.
Therefore, for small d errors for cubically shaped particles are much smaller
than for non-cubically shaped. The relative importance of the linear term
decreases with increasing size, hence convergence of DDA for large enough
scatterers is quadratic in the common range of d. Extensive numerical
simulations were carried out for a wide range of d. Finally we discuss a number
of new developments in DDA and their consequences for convergence.
",perform rigorous theoretical convergence analysis discrete dipole approximation dda prove error measured quantity bound sum linear quadratic term size dipole d range dda applicability linear term significantly small cubically non cubically shaped scatterer small d error cubically shape particle small non cubically shape relative importance linear term decrease increase size convergence dda large scatterer quadratic common range d. extensive numerical simulation carry wide range d. finally discuss number new development dda consequence convergence
phys,A Multiphilic Descriptor for Chemical Reactivity and Selectivity,"  In line with the local philicity concept proposed by Chattaraj et al.
(Chattaraj, P. K.; Maiti, B.; Sarkar, U. J. Phys. Chem. A. 2003, 107, 4973) and
a dual descriptor derived by Toro-Labbe and coworkers (Morell, C.; Grand, A.;
Toro-Labbe, A. J. Phys. Chem. A. 2005, 109, 205), we propose a multiphilic
descriptor. It is defined as the difference between nucleophilic (Wk+) and
electrophilic (Wk-) condensed philicity functions. This descriptor is capable
of simultaneously explaining the nucleophilicity and electrophilicity of the
given atomic sites in the molecule. Variation of these quantities along the
path of a soft reaction is also analyzed. Predictive ability of this descriptor
has been successfully tested on the selected systems and reactions.
Corresponding force profiles are also analyzed in some representative cases.
Also, to study the intra- and intermolecular reactivities another related
descriptor namely, the nucleophilicity excess (DelW-+) for a nucleophile, over
the electrophilicity in it has been defined and tested on all-metal aromatic
compounds.
",line local philicity concept propose chattaraj et al chattaraj p. k. maiti b. sarkar u. j. phys chem a. 2003 107 4973 dual descriptor derive toro labbe coworker morell c. grand a. toro labbe a. j. phys chem a. 2005 109 205 propose multiphilic descriptor define difference nucleophilic wk+ electrophilic wk- condense philicity function descriptor capable simultaneously explain nucleophilicity electrophilicity give atomic site molecule variation quantity path soft reaction analyze predictive ability descriptor successfully test select system reaction correspond force profile analyze representative case study intra- intermolecular reactivity relate descriptor nucleophilicity excess delw-+ nucleophile electrophilicity define test metal aromatic compound
phys,A critical theory of quantum entanglement for the Hydrogen molecule,"  In this paper we investigate some entanglement properties for the Hydrogen
molecule considered as a two interacting spin 1/2 (qubit) model. The
entanglement related to the $H_{2}$ molecule is evaluated both using the von
Neumann entropy and the Concurrence and it is compared with the corresponding
quantities for the two interacting spin system. Many aspects of these functions
are examinated employing in part analytical and, essentially, numerical
techniques. We have compared analogous results obtained by Huang and Kais a few
years ago. In this respect, some possible controversial situations are
presented and discussed.
",paper investigate entanglement property hydrogen molecule consider interact spin 1/2 qubit model entanglement relate $ h_{2}$ molecule evaluate von neumann entropy concurrence compare correspond quantity interact spin system aspect function examinate employ analytical essentially numerical technique compare analogous result obtain huang kais year ago respect possible controversial situation present discuss
phys,"Transient behavior of surface plasmon polaritons scattered at a
  subwavelength groove","  We present a numerical study and analytical model of the optical near-field
diffracted in the vicinity of subwavelength grooves milled in silver surfaces.
The Green's tensor approach permits computation of the phase and amplitude
dependence of the diffracted wave as a function of the groove geometry. It is
shown that the field diffracted along the interface by the groove is equivalent
to replacing the groove by an oscillating dipolar line source. An analytic
expression is derived from the Green's function formalism, that reproduces well
the asymptotic surface plasmon polariton (SPP) wave as well as the transient
surface wave in the near-zone close to the groove. The agreement between this
model and the full simulation is very good, showing that the transient
""near-zone"" regime does not depend on the precise shape of the groove. Finally,
it is shown that a composite diffractive evanescent wave model that includes
the asymptotic SPP can describe the wavelength evolution in this transient
near-zone. Such a semi-analytical model may be useful for the design and
optimization of more elaborate photonic circuits whose behavior in large part
will be controlled by surface waves.
",present numerical study analytical model optical near field diffract vicinity subwavelength groove mill silver surface green tensor approach permit computation phase amplitude dependence diffract wave function groove geometry show field diffract interface groove equivalent replace groove oscillate dipolar line source analytic expression derive green function formalism reproduce asymptotic surface plasmon polariton spp wave transient surface wave near zone close groove agreement model simulation good show transient near zone regime depend precise shape groove finally show composite diffractive evanescent wave model include asymptotic spp describe wavelength evolution transient near zone semi analytical model useful design optimization elaborate photonic circuit behavior large control surface wave
phys,"Compounding Fields and Their Quantum Equations in the Trigintaduonion
  Space","  The 32-dimensional compounding fields and their quantum interplays in the
trigintaduonion space can be presented by analogy with octonion and sedenion
electromagnetic, gravitational, strong and weak interactions. In the
trigintaduonion fields which are associated with the electromagnetic,
gravitational, strong and weak interactions, the study deduces some conclusions
of field source particles (quarks and leptons) and intermediate particles which
are consistent with current some sorts of interaction theories. In the
trigintaduonion fields which are associated with the hyper-strong and
strong-weak fields, the paper draws some predicts and conclusions of the field
source particles (sub-quarks) and intermediate particles. The research results
show that there may exist some new particles in the nature.
",32 dimensional compounding field quantum interplay trigintaduonion space present analogy octonion sedenion electromagnetic gravitational strong weak interaction trigintaduonion field associate electromagnetic gravitational strong weak interaction study deduce conclusion field source particle quark lepton intermediate particle consistent current sort interaction theory trigintaduonion field associate hyper strong strong weak field paper draw predict conclusion field source particle sub quark intermediate particle research result exist new particle nature
phys,"New possible properties of atomic nuclei investigated by non linear
  methods: Fractal and recurrence quantification analysis","  For the first time we apply the methodologies of nonlinear analysis to
investigate atomic matter. We use these methods in the analysis of Atomic
Weights and of Mass Number of atomic nuclei. Using the AutoCorrelation Function
and Mutual Information we establish the presence of nonlinear effects in the
mechanism of increasing mass of atomic nuclei considered as a function of the
atomic number. We find that increasing mass is divergent, possibly chaotic. We
also investigate the possible existence of a Power Law for atomic nuclei and,
using also the technique of the variogram, we conclude that a fractal regime
could superintend to the mechanism of increasing mass for nuclei. Finally,
using the Hurst exponent, evidence is obtained that the mechanism of increasing
mass in atomic nuclei is in the fractional Brownian regime. The most
interesting results are obtained by using Recurrence Quantification Analysis
(RQA). New recurrences, psudoperiodicities, self-resemblance and class of
self-similarities are identified with values of determinism showing oscillating
values indicating the presence of more or less stability during the process of
increasing mass of atomic nuclei. In brief, new regimes of regularities are
identified for atomic nuclei that deserve to be studied by future researches.
In particular an accurate analysis of binding energy values by nonlinear
methods is further required.
",time apply methodology nonlinear analysis investigate atomic matter use method analysis atomic weights mass number atomic nucleus autocorrelation function mutual information establish presence nonlinear effect mechanism increase mass atomic nucleus consider function atomic number find increase mass divergent possibly chaotic investigate possible existence power law atomic nucleus technique variogram conclude fractal regime superintend mechanism increase mass nucleus finally hurst exponent evidence obtain mechanism increase mass atomic nucleus fractional brownian regime interesting result obtain recurrence quantification analysis rqa new recurrence psudoperiodicitie self resemblance class self similarity identify value determinism showing oscillate value indicate presence stability process increase mass atomic nucleus brief new regime regularity identify atomic nucleus deserve study future research particular accurate analysis bind energy value nonlinear method require
phys,Daemons and DAMA: Their Celestial-Mechanics Interrelations,"  The assumption of the capture by the Solar System of the electrically charged
Planckian DM objects (daemons) from the galactic disk is confirmed not only by
the St.Petersburg (SPb) experiments detecting particles with V<30 km/s. Here
the daemon approach is analyzed considering the positive model independent
result of the DAMA/NaI experiment. We explain the maximum in DAMA signals
observed in the May-June period to be associated with the formation behind the
Sun of a trail of daemons that the Sun captures into elongated orbits as it
moves to the apex. The range of significant 2-6-keV DAMA signals fits well the
iodine nuclei elastically knocked out of the NaI(Tl) scintillator by particles
falling on the Earth with V=30-50 km/s from strongly elongated heliocentric
orbits. The half-year periodicity of the slower daemons observed in SPb
originates from the transfer of particles that are deflected through ~90 deg
into near-Earth orbits each time the particles cross the outer reaches of the
Sun which had captured them. Their multi-loop (cross-like) trajectories
traverse many times the Earth's orbit in March and September, which increases
the probability for the particles to enter near-Earth orbits during this time.
Corroboration of celestial mechanics calculations with observations yields
~1e-19 cm2 for the cross section of daemon interaction with the solar matter.
",assumption capture solar system electrically charge planckian dm object daemon galactic disk confirm st. petersburg spb experiment detect particle v<30 km s. daemon approach analyze consider positive model independent result dama nai experiment explain maximum dama signal observe june period associate formation sun trail daemon sun capture elongate orbit move apex range significant 2 6 kev dama signal fit iodine nucleus elastically knock nai(tl scintillator particle fall earth v=30 50 km s strongly elongate heliocentric orbit half year periodicity slow daemon observe spb originate transfer particle deflect ~90 deg near earth orbit time particle cross outer reach sun capture multi loop cross like trajectory traverse time earth orbit march september increase probability particle enter near earth orbit time corroboration celestial mechanic calculation observation yield ~1e-19 cm2 cross section daemon interaction solar matter
phys,"Polymerization Force Driven Buckling of Microtubule Bundles Determines
  the Wavelength of Patterns Formed in Tubulin Solutions","  We present a model for the spontaneous formation of a striated pattern in
polymerizing microtubule solutions. It describes the buckling of a single
microtubule (MT) bundle within an elastic network formed by other similarly
aligned and buckling bundles and unaligned MTs. Phase contrast and polarization
microscopy studies of the temporal evolution of the pattern imply that the
polymerization of MTs within the bundles creates the driving compressional
force. Using the measured rate of buckling, the established MT force-velocity
curve and the pattern wavelength, we obtain reasonable estimates for the MT
bundle bending rigidity and the elastic constant of the network. The analysis
implies that the bundles buckle as solid rods.
",present model spontaneous formation striate pattern polymerize microtubule solution describe buckling single microtubule mt bundle elastic network form similarly aligned buckling bundle unaligned mt phase contrast polarization microscopy study temporal evolution pattern imply polymerization mt bundle create drive compressional force measured rate buckling establish mt force velocity curve pattern wavelength obtain reasonable estimate mt bundle bend rigidity elastic constant network analysis imply bundle buckle solid rod
phys,Approaching the Heisenberg limit in an atom laser,"  We present experimental and theoretical results showing the improved beam
quality and reduced divergence of an atom laser produced by an optical Raman
transition, compared to one produced by an RF transition. We show that Raman
outcoupling can eliminate the diverging lens effect that the condensate has on
the outcoupled atoms. This substantially improves the beam quality of the atom
laser, and the improvement may be greater than a factor of ten for experiments
with tight trapping potentials. We show that Raman outcoupling can produce atom
lasers whose quality is only limited by the wavefunction shape of the
condensate that produces them, typically a factor of 1.3 above the Heisenberg
limit.
",present experimental theoretical result show improve beam quality reduce divergence atom laser produce optical raman transition compare produce rf transition raman outcoupling eliminate diverge lens effect condensate outcoupled atom substantially improve beam quality atom laser improvement great factor experiment tight trap potential raman outcoupling produce atom laser quality limit wavefunction shape condensate produce typically factor 1.3 heisenberg limit
phys,"Protein and ionic surfactants - promoters and inhibitors of contact line
  pinning","  We report a new effect of surfactants in pinning a drop contact line,
specifically that lysozyme promotes while lauryl sulfate inhibits pinning. We
explain the pinning disparity assuming difference in wetting: the protein-laden
drop wets a ""clean"" surface and the surfactant-laden drop wets an
auto-precursored surface.
",report new effect surfactant pin drop contact line specifically lysozyme promote lauryl sulfate inhibits pin explain pin disparity assume difference wet protein laden drop wet clean surface surfactant laden drop wet auto precursore surface
phys,"Thermal decomposition of norbornane (bicyclo[2.2.1]heptane) dissolved in
  benzene. Experimental study and mechanism investigation","  The thermal decomposition of norbornane (dissolved in benzene) has been
studied in a jet stirred reactor at temperatures between 873 and 973 K, at
residence times ranging from 1 to 4 s and at atmospheric pressure, leading to
conversions from 0.04 to 22.6%. 25 reaction products were identified and
quantified by gas chromatography, amongst which the main ones are hydrogen,
ethylene and 1,3-cyclopentadiene. A mechanism investigation of the thermal
decomposition of the norbornane - benzene binary mixture has been performed.
Reactions involved in the mechanism have been reviewed: unimolecular
initiations 1 by C-C bond scission of norbornane, fate of the generated
diradicals, reactions of transfer and propagation of norbornyl radicals,
reactions of benzene and cross-coupling reactions.
","thermal decomposition norbornane dissolve benzene study jet stir reactor temperature 873 973 k residence time range 1 4 s atmospheric pressure lead conversion 0.04 22.6 25 reaction product identify quantify gas chromatography main one hydrogen ethylene 1,3 cyclopentadiene mechanism investigation thermal decomposition norbornane benzene binary mixture perform reaction involve mechanism review unimolecular initiation 1 c c bond scission norbornane fate generate diradical reaction transfer propagation norbornyl radical reaction benzene cross coupling reaction"
